id,name,symbol,description;
"cardano,Cardano,ada,""Es una plataforma de contratos inteligentes que busca ofrecer seguridad, escalabilidad y sostenibilidad mediante el uso de un protocolo de prueba de participación llamado Ouroboros. Su moneda nativa es el ada (ADA), que se usa para transferir valor y participar en la gobernancia de la red. Cardano se basa en la investigación científica y el desarrollo formal, y se divide en varias capas: la capa de liquidación, que maneja las transacciones, y la capa de cómputo, que ejecuta los contratos inteligentes.""";
"chainlink,Chainlink,link,""Es una red descentralizada de oráculos que conecta los contratos inteligentes con datos del mundo real, como precios, eventos, clima, etc. Su moneda nativa es el link (LINK), que se usa para pagar a los proveedores de datos y los nodos operadores por sus servicios. Chainlink permite a los desarrolladores acceder a cualquier API y fuente de datos, integrarse con sistemas existentes y crear aplicaciones innovadoras en diversas industrias."" ";
"cosmos,Cosmos Hub,atom,""Es un ecosistema de blockchains interoperables que permite crear, personalizar y conectar aplicaciones descentralizadas. Su moneda nativa es el átomo (ATOM), que se usa para delegar, votar y gobernar la red. Cosmos utiliza un protocolo de consenso basado en la prueba de participación llamado Tendermint, que ofrece alta velocidad y seguridad. Cosmos también ofrece un marco modular llamado Cosmos SDK, que facilita el desarrollo de blockchains específicas para cada caso de uso.""";
"ethereum,Ethereum,eth,""Es una plataforma de código abierto que permite crear y ejecutar contratos inteligentes y aplicaciones descentralizadas. Su moneda nativa es el ether (ETH), que se usa para pagar las transacciones y los servicios en la red. Ethereum utiliza un mecanismo de consenso basado en la prueba de trabajo, pero planea migrar a la prueba de participación en un futuro próximo."""; while all states and data are distributed and publicly accessible. Ethereum supports smart contracts in which developers can write code in order to program digital value. Examples of decentralized apps (dapps) that are built on Ethereum includes tokens, non-fungible tokens, decentralized finance apps, lending protocol, decentralized exchanges, and much more.
"iota,IOTA,miota,""Es un ledger distribuido que no utiliza una blockchain, sino una estructura de datos llamada Tangle, que consiste en un sistema de nodos que confirman las transacciones. Su moneda nativa es el iota (IOTA), que se usa para transferir valor y pagar las tarifas en la red. Iota tiene como objetivo ofrecer alta velocidad, escalabilidad y seguridad sin tarifas ni mineros. Iota se enfoca en el Internet de las Cosas, permitiendo la comunicación y el intercambio de datos entre dispositivos conectados.""";
"neo,NEO,neo,""Es una plataforma de economía inteligente que combina activos digitales, identidades digitales y contratos inteligentes. Su moneda nativa es el neo (NEO), que representa el derecho a gestionar la red y no se puede dividir. Neo también genera otro token llamado gas (GAS), que se usa para pagar las tarifas del sistema y los servicios en la red. Neo utiliza un mecanismo de consenso llamado tolerancia a fallos bizantinos delegada (dBFT), que ofrece alta velocidad y finalidad. Neo tiene como objetivo crear una red abierta e innovadora para el desarrollo de aplicaciones descentralizadas.""";
"polkadot,Polkadot,dot,""Es un protocolo de sharding multicadena que facilita la transferencia entre cadenas de cualquier tipo de datos o activos, no solo tokens, lo que hace que una amplia gama de blockchains puedan interoperar entre sí. Su moneda nativa es el dot (DOT), que se usa para gobernar la red, crear paracadenas y pagar las tarifas. Polkadot proporciona escalabilidad y seguridad mediante el uso de una cadena central llamada cadena de retransmisión, que se conecta con varias cadenas laterales llamadas paracadenas o parathreads."""; sharing their unique features while pooling their security. In brief, Polkadot is a scalable heterogeneous multi-chain technology.
"tezos,Tezos,xtz,""Es una plataforma de contratos inteligentes que se caracteriza por su capacidad de autoenmienda, lo que significa que puede actualizar su propio protocolo mediante un mecanismo de gobernancia en cadena. Su moneda nativa es el tez (XTZ), que se usa para transferir valor y participar en el proceso de consenso mediante el staking. Tezos utiliza un lenguaje formal llamado Michelson, que permite verificar matemáticamente la corrección y seguridad de los contratos inteligentes. Tezos busca ser una plataforma segura, escalable y sostenible para aplicaciones financieras e institucionales.""";
"vechain,VeChain,vet,""Es una plataforma orientada a las empresas que utiliza la tecnología blockchain para mejorar la eficiencia, la transparencia y la trazabilidad de las cadenas de suministro y otros procesos comerciales. Su moneda nativa es el vechain thor (VET), que se usa para transferir valor y ejecutar transacciones en la red. VeChain también genera otro token llamado vechain thor energy (VTHO), que se usa para pagar las tarifas del gas. VeChain tiene como objetivo impulsar la transformación digital en sectores como la salud, la energía, la alimentación y la sostenibilidad.""";
"zilliqa,Zilliqa,zil,""Es una plataforma de contratos inteligentes que busca ofrecer alta escalabilidad y rendimiento mediante el uso de un método de sharding llamado sharding de red, que divide la red en subredes paralelas que procesan las transacciones de forma independiente. Su moneda nativa es el zilliqa (ZIL), que se usa para transferir valor y pagar las tarifas en la red. Zilliqa utiliza un protocolo de consenso basado en la prueba de trabajo y la tolerancia a fallos práctica bizantina (pBFT), que ofrece seguridad y finalidad. Zilliqa también tiene su propio lenguaje de programación llamado Scilla, que facilita el desarrollo de contratos inteligentes seguros y verificables.""";
